"","Cluster","Gene","corr","pval"
"371","Cluster 2","EZH2",0.282041339191191,0.117833581511325
"372","Cluster 2","KLRK1",0.49233226990649,0.00420471128464572
"373","Cluster 2","NT5E",0.933664775570477,6.44873847703881e-15
"374","Cluster 2","RAET1G",0.752471945668555,6.80035292658275e-07
"375","Cluster 2","TAP1",0.793711231658276,5.96848668474406e-08
"376","Cluster 3","B2M",0.722393019630063,2.08137325114572e-07
"377","Cluster 3","CCL22",0.970121904408958,2.3417264956894e-24
"378","Cluster 3","CCL28",-0.0178616519615496,0.914054971911635
"379","Cluster 3","CD40",0.43969506964115,0.00509778527489713
"380","Cluster 3","CXCL17",-0.0226743607518882,0.891021508702339
"381","Cluster 3","CXCR5",0.483229179938847,0.00183222997439983
"382","Cluster 3","HSP90B1",0.925078019877219,3.88538416919365e-17
"383","Cluster 3","KLRK1",0.639118248885018,1.19112753850569e-05
"384","Cluster 3","NT5E",0.980181681052744,1.28210640298449e-27
"385","Cluster 3","RAET1G",0.829016176095548,7.11377245678850e-11
"386","Cluster 3","TAP1",0.366913783450884,0.021583937439673
"387","Cluster 4","B2M",0.461127962587192,0.0103255806412888
"388","Cluster 4","CCL20",0.531772247213296,0.00249205627297763
"389","Cluster 4","CCL22",0.469518333276146,0.00885332310537048
"390","Cluster 4","CCL28",0.865872494902364,6.45526493045023e-10
"391","Cluster 4","CCR6",0.668495029189777,5.39935292410389e-05
"392","Cluster 4","CD1C",-0.466862052718258,0.00929892106832246
"393","Cluster 4","CD40",0.458075094433721,0.0109099803199921
"394","Cluster 4","CXCL17",0.97064297248575,7.22803715435976e-19
"395","Cluster 4","EZH2",0.971485143852678,4.83387505301517e-19
"396","Cluster 4","KLRK1",0.622342707430477,0.000240560925314792
"397","Cluster 4","LAG3",0.394945347341173,0.0307753299338808
"398","Cluster 4","NT5E",0.90403159855393,7.59192315578392e-12
"399","Cluster 4","RAET1G",0.934353833516242,4.51153559063339e-14
"400","Cluster 4","TAP1",0.626556594289298,0.000211959411839381
"401","Cluster 1","B2M",0.615182029298609,3.27611898563066e-06
"402","Cluster 1","CCL20",0.201789696457779,0.169012425755258
"403","Cluster 1","CCL22",-0.0351648125695232,0.812439342740162
"404","Cluster 1","CCL28",-0.224294434389906,0.125375363704076
"405","Cluster 1","CCR6",0.498629721866889,0.000309703029110833
"406","Cluster 1","CD40",0.264952149899623,0.0687692324379382
"407","Cluster 1","CXCL17",0.115965311383672,0.432508379168083
"408","Cluster 1","EZH2",0.0833773903185472,0.573154920804913
"409","Cluster 1","HSP90B1",0.32206686821688,0.0255898816726383
"410","Cluster 1","KLRK1",0.195459894062495,0.183066251925779
"411","Cluster 1","NT5E",0.159845249103546,0.277813164098028
"412","Cluster 1","RAET1G",0.393160564415113,0.005703042915268
"413","Cluster 1","TAP1",0.377226026300402,0.00821650980775344
"414","Cluster 2","B2M",-0.0572484390695272,0.755635745039722
"415","Cluster 2","CCL22",0.514113904037452,0.00261224423338447
"416","Cluster 2","CCL28",0.217481295686792,0.231817724784518
"417","Cluster 2","CD1C",-0.100119225496812,0.585616146170627
"418","Cluster 2","CD2",0.664899887879843,3.3087868015175e-05
"419","Cluster 2","CD40",0.440034783200928,0.0117273348375901
"420","Cluster 2","CXCL17",0.0654261208198748,0.722018384037323
"421","Cluster 2","EZH2",-0.0497508707324036,0.786849691373795
"422","Cluster 2","KLRK1",0.649618441410122,5.74061743312712e-05
"423","Cluster 2","NT5E",0.0269158598168128,0.883741722028031
"424","Cluster 2","RAET1G",0.252262326682215,0.163655343374887
"425","Cluster 2","TAP1",0.742744773340292,1.12836690278045e-06
"426","Cluster 3","B2M",0.717353172256501,2.76776425877535e-07
"427","Cluster 3","CCL22",0.470903424062408,0.00248134531442645
"428","Cluster 3","CCL28",-0.205142605953756,0.210275422266151
"429","Cluster 3","CD40",0.274967922790761,0.0902394472400198
"430","Cluster 3","CXCL17",0.118423018098728,0.472743435720793
"431","Cluster 3","CXCR5",0.173264862050488,0.291499357382835
"432","Cluster 3","HSP90B1",0.434393508252026,0.00572394735353534
"433","Cluster 3","KLRK1",0.442301327783117,0.00481235319092178
"434","Cluster 3","NT5E",0.351155690796969,0.0283830050178278
"435","Cluster 3","RAET1G",0.0254967796121324,0.877553197822958
"436","Cluster 3","TAP1",0.582709122478803,9.92980746660413e-05
"437","Cluster 4","B2M",0.604433371693656,0.000403925023128735
"438","Cluster 4","CCL20",0.596595266891838,0.000501943948338703
"439","Cluster 4","CCL22",0.562700577475503,0.00120830662704048
"440","Cluster 4","CCL28",0.341469675366213,0.0647779739667542
"441","Cluster 4","CCR6",0.51117086076638,0.00389147907512364
"442","Cluster 4","CD1C",0.299043604592226,0.108425173667611
"443","Cluster 4","CD40",0.32191316928679,0.082778249215908
"444","Cluster 4","CXCL17",0.194548548416735,0.302919381338876
"445","Cluster 4","EZH2",0.264261209600305,0.15820162409747
"446","Cluster 4","KLRK1",0.486723422849272,0.0063813727148993
"447","Cluster 4","LAG3",0.0852222396952705,0.654324030005917
"448","Cluster 4","NT5E",-0.0523457723268018,0.783535113431259
"449","Cluster 4","RAET1G",0.425224999656558,0.0191545377521109
"450","Cluster 4","TAP1",0.511029436029805,0.00390303590559048
"451","Cluster 1","B2M",0.586857796628642,1.1654662718995e-05
"452","Cluster 1","CCL20",0.41391330706504,0.00345022743063869
"453","Cluster 1","CCL22",-0.0404506890523711,0.784872454322233
"454","Cluster 1","CCL28",0.99726206094721,1.09671823820349e-53
"455","Cluster 1","CCR6",0.599516808081967,6.70942582237217e-06
"456","Cluster 1","CD40",0.279464241388863,0.0543960207482221
"457","Cluster 1","CXCL17",0.276646397463237,0.0569787071150045
"458","Cluster 1","EZH2",0.549862313379749,5.16108432094222e-05
"459","Cluster 1","HSP90B1",0.551032776395973,4.93691947749121e-05
